Orientoivat opinnot,3 op
<b>Matematiikka<b>,
Funktiot ja kompleksiluvut,3 op
Vektorit ja matriisit,3 op
Differentiaalilaskenta,3 op
Digitaalitekniikan matematiikka,3 op
Diskreetti matematiikka,3 op
<b>Fysiikka</b>,
Mekaniikka ja l&auml;mp&ouml;opin perusteet,3 op
S&auml;hk&ouml;oppi,3 op
Magnetismi,3 op
V&auml;r&auml;htelyt ja aaltoliike,3 op
<b>Kieliopinnot</b>,
Ty&ouml;el&auml;m&auml;n ja tutkimuksen kieli ja viestint&auml;,3 op
Ammatillinen englanti,3 op
Ty&ouml;el&auml;m&auml;n ruotsi,3 op
<b>Tuotantotalous</b>,
Projektinhallinta,3 op
Investointilaskenta ja p&auml;&auml;t&ouml;ksenteko,3 op
<b>Johdantoprojekti</b>,
Tietotekniikan perusteet,3 op
Tekniikan suomi ja viestint&auml;,3 op
PC:n k&auml;ytt&ouml;&ouml;notto,3 op
<b>Tietotekniikan yhteiset ammattiopinnot</b>,
Unix/Linux-peruskurssi,3 op
Tietoturvallisuuden perusteet,3 op
Digitaalitekniikka (piirit),3 op
Tietokoneen arkkitehtuuri,3 op
Ohjelmoinnin perusteet,3 op
Ohjelmoinnin jatko (C),3 op
Tiedonhallinnan perusteet,3 op
Tietoliikenteen perusteet,3 op
L&auml;hiverkot (CCNA 1),3 op
Reititinverkot (CCNA 2),3 op
Mikroprosessorit,3 op
Ammatillisesti suuntaava projekti,7 op
Python-ohjelmointi,3 op
Ruby-ohjelmointi,4 op
<b>Ohjelmistotekniikan yhteiset ammattiopinnot</b> ,
Ohjelmoinnin jatko (Java),3 op
C++-ohjelmointi,3 op
C#-ohjelmoinnin perusteet,4 op
Suunnittelumallit,3 op
K&auml;ytt&auml;j&auml;keskeinen suunnittelu,3 op
Tietokantarakenteet,3 op
Tietorakenteet ja algoritmit,3 op
Ohjelmistotuotannon k&auml;yt&auml;nn&ouml;t,6 op
<b>Ohjelmistotekniikan valinnaiset ammattiopinnot</b>,
Peliohjelmointi,5 op
Introduction to Gamification Design,3 op
<b>Innovaatioprojekti</b>,
Innovaatioprojekti,10 op
Ohjelmistojen testaus ja hallinta,5 op
<b>Vapaasti valittavat opinnot</b>,
Lausekkeet ja yht&auml;l&ouml;t,3 op
Fysiikan t&auml;ydent&auml;v&auml;t opinnot,3 op
Valmennus ammattiruotsiin 1,3 op
Japani 1,3 op
Harjoittelu 1,15 op
Harjoittelu 2,15 op
Interaktiivisen kerronnan perusteet,3 op
PHP-ohjelmoinnin perusteet,2 op
Pelikerronnan ty&ouml;paja,5 op
Tutortoiminta,6 op
Game Art,5 op
<b>Total</b>,<b>215/240 op</b>